typeid,numberchanges,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:18:45.3472709+02:00,0,00:00:27.8750088,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",4,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:19:15.8291368+02:00,0,00:00:16.0124530,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:19:33.44381+02:00,0,00:00:02.3048867,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",2,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:19:37.3809611+02:00,0,00:00:06.4709987,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",8,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:19:45.1249927+02:00,0,00:00:03.0686649,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",3,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:19:48.2021559+02:00,0,00:00:02.5919557,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",7,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:19:51.7020732+02:00,0,00:00:02.3097290,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",6,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:19:54.1648125+02:00,0,00:00:22.2449809,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",8,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:20:16.5732374+02:00,0,00:00:03.2744061,0Win:vsWindowTypeDocument build.ps1
"KaVE.Commons.Model.Events.VisualStudio.EditEvent, KaVE.Commons",11,f2d01c7c-5ef3-471f-8344-a136c22a1932,0.1004-Default,2016-05-10T01:20:19.9708949+02:00,0,00:00:03.4283143,0Win:vsWindowTypeDocument build.ps1
