typeid,mode,reason,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:56:02.7737114+02:00,0,00:00:00,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:56:29.598675+02:00,0,00:00:33.0530700,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:57:02.6527459+02:00,0,00:00:01.8873994,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonGo,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:57:04.5406486+02:00,0,00:00:55.2416129,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:57:59.7827619+02:00,0,00:00:00,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:58:25.655223+02:00,0,00:00:33.2115535,0Win:vsWindowTypeDocument Web.config,0Doc:XML \Web.config
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:58:58.8672753+02:00,0,00:00:02.2211500,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonGo,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T01:59:01.0889265+02:00,0,00:09:47.2599287,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T02:08:48.3498553+02:00,0,00:00:03.3733560,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonGo,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T02:08:51.7242097+02:00,0,00:05:35.9450965,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T02:14:27.6698063+02:00,0,00:00:02.4855378,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonGo,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T02:14:30.1558433+02:00,0,00:11:51.4917800,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",2,dbgEventReasonBreakpoint,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T02:26:21.6481254+02:00,0,00:00:02.2269746,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonGo,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T02:26:23.8771005+02:00,0,00:00:20.9744773,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",0,dbgEventReasonStopDebugging,7639de18-b8d5-4593-88f5-8d8f4f700719,0.1004-Default,2016-05-17T02:26:44.8520775+02:00,0,00:00:00,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
"KaVE.Commons.Model.Events.VisualStudio.DebuggerEvent, KaVE.Commons",1,dbgEventReasonAttachProgram,a12b7757-6cfd-45dd-9a15-b579faed49d3,0.1004-Default,2016-05-24T18:10:41.459081+02:00,0,04:23:11.9784536,0Win:vsWindowTypeDocument HomeController.cs,0Doc:CSharp \Controllers\HomeController.cs
