profileid,education,position,projectsCourses,projectsPersonal,projectsSharedSmall,projectsSharedMedium,projectsSharedLarge,teamsSolo,teamsSmall,teamsMedium,teamsLarge,codeReviews,programmingGeneral,programmingCSharp,comment,idesessionuuid,kaveversion,triggeredat,triggeredby,activewindow,activedocument
49cd1adb-1250-4da6-9945-992e06e7d9bd,5,5,0,0,0,1,1,0,0,1,1,1,6,6,,c2d18909-121a-469d-b471-3c9fbd020c79,0.1010-Default,2016-07-11T10:53:11.6332988+02:00,0,0Win:vsWindowTypeDocument App.config,0Doc:XML \Source\NordnetImport\App.config
49cd1adb-1250-4da6-9945-992e06e7d9bd,5,5,0,0,0,1,1,0,0,1,1,1,6,6,,000a3e9f-46d4-4bc8-99de-f4578aa6b2a8,0.1010-Default,2016-07-13T15:33:07.6525498+02:00,0,0Win:vsWindowTypeDocument DateIntervalCalculator.cs,0Doc:CSharp \Source\Securities.Model\Src\Se\SoderbergPartners\Securities\Utils\DateIntervalCalculator.cs
49cd1adb-1250-4da6-9945-992e06e7d9bd,5,5,0,0,0,1,1,0,0,1,1,1,6,6,,99eb918e-7446-4b79-9329-d0eedc3264aa,0.1010-Default,2016-07-15T11:37:06.5257615+02:00,0,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:XML \UBSSecuraFileImport\app.Release.config
49cd1adb-1250-4da6-9945-992e06e7d9bd,5,5,0,0,0,1,1,0,0,1,1,1,6,6,,598bb829-4c88-4951-9675-7492bd7928de,0.1010-Default,2016-07-19T14:57:08.5143319+02:00,0,0Win:vsWindowTypeDocument ImportPreProcessor.cs,0Doc:CSharp importpreprocessor.cs
49cd1adb-1250-4da6-9945-992e06e7d9bd,5,5,0,0,0,1,1,0,0,1,1,1,6,6,,c875d921-84e3-45cb-9e4b-11eeb50ad7f8,0.1010-Default,2016-07-25T13:34:20.8946704+02:00,0,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \UBSSecuraFileImport\FileProcessing\3. DbImport\FiletypeSpecificProcessing\VpchDbProcessor.cs
49cd1adb-1250-4da6-9945-992e06e7d9bd,5,5,0,0,0,1,1,0,0,1,1,1,6,6,,5dbd2534-e7fd-4c3a-8495-7bc445625e5b,0.1010-Default,2016-08-04T07:52:50.1255674+02:00,0,0Win:vsWindowTypeToolWindow Start Page,
49cd1adb-1250-4da6-9945-992e06e7d9bd,5,5,0,0,0,1,1,0,0,1,1,1,6,6,,49d99bfe-bc6f-41ba-b8aa-9be7767e3fed,0.1012-Default,2016-08-11T15:04:59.118919+02:00,0,0Win:vsWindowTypeDocument VpctDbProcessor.cs,0Doc:CSharp \UBSSecuraFileImport\FileProcessing\3. DbImport\FiletypeSpecificProcessing\VpctDbProcessor.cs
49cd1adb-1250-4da6-9945-992e06e7d9bd,5,5,0,0,0,1,1,0,0,1,1,1,6,6,,49d99bfe-bc6f-41ba-b8aa-9be7767e3fed,0.1012-Default,2016-08-11T15:04:59.118919+02:00,0,,
43e107f8-5682-48a1-bcce-972cc031704c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ffc444d0-8382-4e52-9f04-3c42601ec739,0.1009-Default,2016-06-14T20:30:30.0914572+02:00,0,0Win:vsWindowTypeToolWindow Package Manager Console,
43e107f8-5682-48a1-bcce-972cc031704c,2,1,0,1,0,0,0,1,0,0,0,2,3,5,,3b83dce8-cbb6-487b-bc00-f073293220d2,0.1010-Default,2016-06-23T07:35:05.8910369+02:00,0,0Win:vsWindowTypeToolWindow Error List,
43e107f8-5682-48a1-bcce-972cc031704c,2,1,0,1,0,0,0,1,0,0,0,2,3,5,,e4414aaf-7683-4d0a-a3d1-23acf58d328c,0.1010-Default,2016-07-02T21:57:53.9823746+02:00,0,0Win:vsWindowTypeToolWindow Package Manager Console,0Doc:CSharp \OrangeSlice\Models\Stock.cs
43e107f8-5682-48a1-bcce-972cc031704c,2,1,0,1,0,0,0,1,0,0,0,2,3,5,,a2c21cc9-99e8-4e7b-93ef-d18d30826c72,0.1010-Default,2016-07-10T08:37:06.3228881+02:00,0,0Win:vsWindowTypeDocument quartzConfig.xml,0Doc:XML \MarketStateMachine\quartzConfig.xml
43e107f8-5682-48a1-bcce-972cc031704c,2,1,0,1,0,0,0,1,0,0,0,2,3,5,,7e7a5d6f-1f20-4b4f-95e4-359cef6b6b2c,0.1010-Default,2016-07-25T19:32:55.755342+02:00,0,0Win:vsWindowTypeToolWindow Package Manager Console,
