typeid,scope,action,idesessionuuid,kaveversion,triggeredat,triggeredby,duration,activewindow,activedocument
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",0,vsBuildActionBuild,462d90df-7a87-437c-8daa-5aeb27839c7f,0.1010-Default,17:20:42.7317794,0,00:00:04.6662328,0Win:vsWindowTypeToolWindow Unit Test Sessions - ShouldFireEventWithDeltaAtLogFileChange,0Doc:CSharp \KaVE.VS.FeedbackGenerator.Tests\Generators\Git\GitEventGeneratorIntegrationTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",0,vsBuildActionBuild,462d90df-7a87-437c-8daa-5aeb27839c7f,0.1010-Default,17:23:23.6435344,0,00:00:04.5076990,0Win:vsWindowTypeToolWindow Unit Test Sessions - ShouldFireEventWithDeltaAtLogFileChange,0Doc:CSharp \KaVE.VS.FeedbackGenerator.Tests\Generators\Git\GitEventGeneratorIntegrationTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",0,vsBuildActionBuild,462d90df-7a87-437c-8daa-5aeb27839c7f,0.1010-Default,17:26:07.6403245,0,00:00:04.9334771,0Win:vsWindowTypeToolWindow Unit Test Sessions - ShouldFireEventWithDeltaAtLogFileChange,0Doc:CSharp \KaVE.VS.FeedbackGenerator.Tests\Generators\Git\GitEventGeneratorIntegrationTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",0,vsBuildActionBuild,462d90df-7a87-437c-8daa-5aeb27839c7f,0.1010-Default,17:26:25.0353051,0,00:00:04.6481323,0Win:vsWindowTypeToolWindow Unit Test Sessions - ShouldFireEventWithDeltaAtLogFileChange,0Doc:CSharp \KaVE.VS.FeedbackGenerator.Tests\Generators\Git\GitEventGeneratorIntegrationTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",0,vsBuildActionBuild,462d90df-7a87-437c-8daa-5aeb27839c7f,0.1010-Default,17:28:33.2818314,0,00:00:02.9368116,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \KaVE.VS.FeedbackGenerator.Tests\Generators\Git\GitEventGeneratorIntegrationTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,2b345820-89bd-4aeb-aa79-5f161479f455,0.1010-Default,11:20:03.4046925,0,00:00:06.5060531,0Win:vsWindowTypeDocument ContractDraftController.cs,0Doc:CSharp \EasyContracts\Controllers\ContractDraftController.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,16c549f9-0449-4e9f-a9ab-9a4ec18d1ecd,0.1010-Default,11:18:07.3327675,0,00:00:03.0560911,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \src\EasyContracts2\Startup.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,77adea7c-cc67-454f-97d1-ecb64d5584b3,0.1010-Default,12:07:33.0789569,0,00:00:03.6107326,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \KaVE.VS.FeedbackGenerator\Generators\Git\GitEventGenerator.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,c7da33b6-b34a-431f-9d33-1c7542383d4e,0.1010-Default,16:06:44.6355222,0,00:00:02.2385724,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:HTMLX \src\EasyContracts2\Views\Index.cshtml
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionBuild,92a1803f-851a-4aa6-90bc-aaf95a67730a,0.1010-Default,16:28:35.9142164,0,00:00:01.4016849,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:HTMLX \src\EasyContracts2\Views\Index.cshtml
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionClean,a34770a9-341f-4755-8d49-8c42a2059b08,0.1010-Default,16:40:13.9611728,0,00:00:00.9034150,0Win:vsWindowTypeDocument Index.cshtml,0Doc:HTMLX \src\EasyContracts2\Views\Index.cshtml
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionClean,a34770a9-341f-4755-8d49-8c42a2059b08,0.1010-Default,16:40:19.7454728,0,00:00:00.1135196,0Win:vsWindowTypeDocument Index.cshtml,0Doc:HTMLX \src\EasyContracts2\Views\Index.cshtml
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeSolution,vsBuildActionRebuildAll,a34770a9-341f-4755-8d49-8c42a2059b08,0.1010-Default,16:40:23.8537815,0,00:00:02.0233158,0Win:vsWindowTypeDocument Index.cshtml,0Doc:HTMLX \src\EasyContracts2\Views\Index.cshtml
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,17:04:36.5337844,0,00:00:02.2657596,0Win:vsWindowTypeDocument HiwiController.cs,0Doc:CSharp \src\EasyContracts2\Controllers\API\HiwiController.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,17:04:36.5538377,0,00:00:02.2601255,0Win:vsWindowTypeDocument HiwiController.cs,0Doc:CSharp \src\EasyContracts2\Controllers\API\HiwiController.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:07:02.6986894,0,00:00:04.3397437,0Win:vsWindowTypeDocument topnav.html,0Doc:HTMLX \src\EasyContracts2\wwwroot\views\topnav.html
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:07:02.7006947,0,00:00:04.3377384,0Win:vsWindowTypeDocument topnav.html,0Doc:HTMLX \src\EasyContracts2\wwwroot\views\topnav.html
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,13:36:54.1981692,0,00:00:02.7778189,0Win:vsWindowTypeDocument app.js,0Doc:JavaScript \src\EasyContracts2\wwwroot\js\app.js
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,13:36:54.1981692,0,00:00:02.7778189,0Win:vsWindowTypeDocument app.js,0Doc:JavaScript \src\EasyContracts2\wwwroot\js\app.js
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,13:40:37.8943066,0,00:00:02.1809544,0Win:vsWindowTypeDocument LogoutController.cs,0Doc:CSharp \src\EasyContracts2\Controllers\LogoutController.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,13:40:37.8953084,0,00:00:02.1799526,0Win:vsWindowTypeDocument LogoutController.cs,0Doc:CSharp \src\EasyContracts2\Controllers\LogoutController.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,14:17:29.3068898,0,00:00:02.8753784,0Win:vsWindowTypeDocument hiwi_list.html,0Doc:HTMLX \src\EasyContracts2\wwwroot\views\hiwi\hiwi_list.html
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,14:17:29.3078925,0,00:00:02.8743757,0Win:vsWindowTypeDocument hiwi_list.html,0Doc:HTMLX \src\EasyContracts2\wwwroot\views\hiwi\hiwi_list.html
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,22:20:07.5126879,0,00:00:02.5437632,0Win:vsWindowTypeDocument Hiwi.cs,0Doc:CSharp \src\EasyContracts2\Model\Hiwi.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,22:20:07.5156965,0,00:00:02.5407546,0Win:vsWindowTypeDocument Hiwi.cs,0Doc:CSharp \src\EasyContracts2\Model\Hiwi.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,12:28:09.7229338,0,00:00:03.4006594,0Win:vsWindowTypeDocument ContractManagerContext.cs,0Doc:CSharp \src\EasyContracts2\Persistence\ContractManagerContext.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,12:28:09.7239367,0,00:00:03.4006635,0Win:vsWindowTypeDocument ContractManagerContext.cs,0Doc:CSharp \src\EasyContracts2\Persistence\ContractManagerContext.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,11:56:50.7926498,0,00:00:03.9716419,0Win:vsWindowTypeDocument HiwiTest.cs,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,11:56:50.7926498,0,00:00:03.9726145,0Win:vsWindowTypeDocument HiwiTest.cs,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,11:58:32.8984367,0,00:00:00.0350927,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,11:58:32.8984367,0,00:00:00.0340900,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,11:58:38.7016895,0,00:00:00.0297436,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,11:58:38.7016895,0,00:00:00.0287407,0Win:vsWindowTypeSolutionExplorer Solution Explorer,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,21767836-fa6e-4ebf-92d1-20633acfed61,0.1010-Default,11:58:41.8114289,0,00:00:00.0291083,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
"KaVE.Commons.Model.Events.VisualStudio.BuildEvent, KaVE.Commons",vsBuildScopeProject,vsBuildActionBuild,1de5de9f-3a00-4e18-8a75-fdc672b6e6b8,0.1010-Default,11:58:41.8114289,0,00:00:00.0291083,0Win:vsWindowTypeToolWindow Unit Test Sessions - SomeTest,0Doc:CSharp \test\EasyContracts2.IntegrationTests\API\HiwiTest.cs
